time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
7100117881,0.204363,-0.899273,-0.339207,-2.80572,-0.320818,1.97188,-0.298001,-0.00366377,-0.0078485,-0.0334983,-0.0229758,-0.0340053,0.0291664,-0.0657176,-0.0501921,-0.107521,-0.458912,-0.314759,-0.465858,0.399567,-0.900303,0.291978,-0.051331,0.429613,0.979056,0.201147,0.023218,0.0212226
7385429551,0.204141,-0.900057,-0.341974,-2.80781,-0.323724,1.97432,-0.303691,-0.00732754,-0.015697,-0.0669966,-0.0459516,-0.0680107,0.0583328,-0.131435,-0.0500569,-0.107231,-0.457676,-0.313911,-0.464604,0.398491,-0.897878,0.291691,-0.0525574,0.428376,0.978152,0.205376,0.0239323,0.0216053
7670741222,0.203616,-0.90119,-0.346794,-2.81112,-0.32862,1.97852,-0.313155,-0.00716821,-0.0153557,-0.0655398,-0.0449524,-0.0665318,0.0570644,-0.128577,0.00217112,0.00465096,0.0198508,0.0136153,0.0201513,-0.0172838,0.0389437,0.29107,-0.0550745,0.42578,0.976189,0.214259,0.0254261,0.0224054
7956052893,0.202511,-0.903557,-0.356896,-2.81805,-0.338875,1.98731,-0.332973,-0.00350443,-0.00750717,-0.0320415,-0.0219766,-0.0325264,0.027898,-0.0628596,0.0497887,0.106657,0.455224,0.312229,0.462114,-0.396356,0.893067,0.290191,-0.0583405,0.422277,0.973395,0.22627,0.0274287,0.0234795
8228956390,0.201025,-0.906739,-0.370478,-2.82737,-0.352662,1.99914,-0.359618,0,0,0,0,0,0,0,0.0475017,0.101758,0.434313,0.297887,0.440887,-0.378149,0.852044,0.289271,-0.0614468,0.418787,0.970445,0.238263,0.0294134,0.024543
8228956390,0.199551,-0.909898,-0.383958,-2.83661,-0.366347,2.01087,-0.386064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288567,-0.0636408,0.416217,0.968164,0.24711,0.0308708,0.025322
8514268061,0.198469,-0.912216,-0.393854,-2.8434,-0.376393,2.01949,-0.405478,-0.00499207,-0.00533559,-0.0360035,-0.0204802,-0.0340375,0.0301082,-0.0657176,-0.0674858,-0.0721297,-0.486717,-0.276863,-0.46014,0.407021,-0.88841,0.288165,-0.0649328,0.414728,0.966806,0.252221,0.0317336,0.0257556
8799579731,0.19779,-0.913478,-0.399711,-2.84727,-0.382249,2.02455,-0.416793,-0.00998414,-0.0106712,-0.072007,-0.0409603,-0.068075,0.0602165,-0.131435,-0.0673064,-0.071938,-0.485423,-0.276127,-0.458917,0.405939,-0.886049,0.287806,-0.0663639,0.413244,0.96544,0.257248,0.0326501,0.026139
9084891402,0.196959,-0.914495,-0.40594,-2.85094,-0.388214,2.02979,-0.428313,-0.00870133,-0.0093001,-0.0627552,-0.0356975,-0.0593285,0.0524796,-0.114548,0.0172498,0.0184368,0.124408,0.070768,0.117615,-0.104037,0.227083,0.287213,-0.0687713,0.410776,0.963113,0.265572,0.0342029,0.0267534
9370203073,0.195497,-0.916058,-0.416482,-2.85694,-0.39818,2.03861,-0.447555,-0.00370926,-0.00396451,-0.0267517,-0.0152174,-0.0252909,0.0223714,-0.0488302,0.0669505,0.0715576,0.482857,0.274667,0.45649,-0.403793,0.881364,0.286399,-0.0718036,0.407552,0.959946,0.27646,0.0362336,0.0275615
9582198514,0.193593,-0.918093,-0.430216,-2.86475,-0.411164,2.05009,-0.472624,0,0,0,0,0,0,0,0.0496488,0.0530653,0.358074,0.203686,0.338521,-0.299442,0.653597,0.285576,-0.0745976,0.404456,0.956769,0.286934,0.0381901,0.028344
9582198514,0.191768,-0.920043,-0.443375,-2.87223,-0.423605,2.0611,-0.496643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284971,-0.0765075,0.402263,0.954436,0.294364,0.0395816,0.0289024
9867510185,0.190478,-0.921422,-0.452682,-2.87753,-0.432403,2.06888,-0.513631,-0.00567947,-0.00257926,-0.0382614,-0.0177043,-0.0334463,0.0303295,-0.0657176,-0.0758201,-0.0344328,-0.510784,-0.23635,-0.446504,0.404895,-0.87732,0.284644,-0.0775887,0.401051,0.953123,0.298455,0.040362,0.0291899
10152821855,0.189734,-0.922092,-0.457948,-2.88038,-0.437284,2.07322,-0.523095,-0.0113589,-0.00515852,-0.0765228,-0.0354087,-0.0668927,0.0606591,-0.131435,-0.0756211,-0.0343424,-0.509443,-0.23573,-0.445332,0.403832,-0.875018,0.284322,-0.0789063,0.399714,0.951671,0.30291,0.0412499,0.0294436
10438133526,0.188826,-0.922565,-0.464115,-2.88331,-0.442726,2.07814,-0.533764,-0.00878984,-0.0039918,-0.0592153,-0.0274002,-0.0517633,0.0469395,-0.101708,0.0341175,0.0154941,0.229843,0.106353,0.200918,-0.182195,0.394777,0.283758,-0.0811981,0.397387,0.949092,0.310644,0.0428094,0.0298707
10723445197,0.187216,-0.923296,-0.474957,-2.88832,-0.452203,2.08674,-0.552386,-0.00311037,-0.00141254,-0.0209539,-0.00969581,-0.0183169,0.01661,-0.0359903,0.0752262,0.034163,0.506783,0.234499,0.443006,-0.401723,0.870448,0.283006,-0.0840073,0.39444,0.94572,0.320438,0.0447958,0.0304268
10879696481,0.185183,-0.92422,-0.488658,-2.89466,-0.46418,2.0976,-0.575919,0,0,0,0,0,0,0,0.0411389,0.0186827,0.277144,0.12824,0.242266,-0.21969,0.476021,0.282269,-0.0865329,0.391694,0.94247,0.329567,0.0466612,0.0309608
10879696481,0.183291,-0.925079,-0.501403,-2.90056,-0.475322,2.1077,-0.597811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281749,-0.0881989,0.389829,0.940201,0.335772,0.0479378,0.0313328
11165008152,0.182006,-0.925662,-0.510055,-2.90456,-0.482885,2.11456,-0.612672,-0.00570138,0.000195905,-0.0402039,-0.0148133,-0.0323573,0.0299313,-0.0657176,-0.0752125,0.00258437,-0.530368,-0.195416,-0.426856,0.394852,-0.866945,0.281483,-0.0891093,0.38884,0.938983,0.339049,0.0486191,0.0315059
11450319822,0.181318,-0.925876,-0.514758,-2.9066,-0.486896,2.11822,-0.620629,-0.0114028,0.00039181,-0.0804077,-0.0296266,-0.0647145,0.0598625,-0.131435,-0.0750174,0.00257767,-0.528992,-0.19491,-0.425749,0.393828,-0.864696,0.281188,-0.0903418,0.387614,0.937472,0.34307,0.0494698,0.0316492
11735631493,0.180444,-0.925875,-0.520902,-2.90891,-0.49187,2.12281,-0.630707,-0.00777884,0.000267288,-0.0548532,-0.0202109,-0.0441475,0.0408375,-0.0896636,0.0475594,-0.00163419,0.33537,0.123568,0.269915,-0.249678,0.548198,0.280652,-0.092517,0.385432,0.934737,0.350212,0.0509927,0.0319018
12020943164,0.178886,-0.925822,-0.531889,-2.91296,-0.500712,2.13099,-0.648666,-0.00207745,7.13833e-05,-0.0146494,-0.00539762,-0.0117902,0.0109063,-0.023946,0.0746302,-0.00256437,0.526262,0.193904,0.423551,-0.391795,0.860233,0.279959,-0.095114,0.382753,0.931293,0.358968,0.0528778,0.0322347
12124904180,0.176976,-0.925756,-0.545354,-2.91792,-0.511549,2.14102,-0.670676,0,0,0,0,0,0,0,0.027168,-0.000933518,0.191578,0.0705876,0.154187,-0.142627,0.313155,0.279299,-0.0974048,0.380319,0.928079,0.366916,0.0546074,0.0325595
