time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
2788548003,0.198327,-0.91252,-0.395148,-2.84429,-0.377706,2.02062,-0.408017,-0.00999856,-0.0214188,-0.091418,-0.0627018,-0.0928018,0.0795962,-0.179346,0.104532,0.223927,0.955746,0.655527,0.970212,-0.832152,1.875,0.288473,-0.0639223,0.415881,0.967859,0.24827,0.0310616,0.0254238
2884199014,0.197849,-0.913544,-0.39952,-2.84729,-0.382144,2.02442,-0.416594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288153,-0.0648639,0.414743,0.966814,0.252192,0.0317062,0.0257673
2884199014,0.197849,-0.913544,-0.39952,-2.84729,-0.382144,2.02442,-0.416594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288153,-0.0648639,0.414743,0.966814,0.252192,0.0317062,0.0257673
2984199014,0.197137,-0.914305,-0.404656,-2.85021,-0.387,2.02872,-0.425969,-0.014243,-0.0152231,-0.102722,-0.0584323,-0.097113,0.0859023,-0.1875,-0.14243,-0.152231,-1.02722,-0.584323,-0.97113,0.859023,-1.875,0.287876,-0.0660659,0.413544,0.965717,0.256236,0.0324612,0.0260645
3084199014,0.195,-0.916589,-0.420065,-2.85897,-0.401567,2.0416,-0.454094,-0.0284859,-0.0304461,-0.205444,-0.116865,-0.194226,0.171805,-0.375,-0.14243,-0.152231,-1.02722,-0.584323,-0.97113,0.859023,-1.875,0.287005,-0.0695737,0.409936,0.962301,0.268408,0.0347317,0.0269633
3184199014,0.192002,-0.919793,-0.441688,-2.87127,-0.422009,2.05969,-0.493563,-0.0248259,-0.0265343,-0.179048,-0.101849,-0.169271,0.14973,-0.326818,0.14243,0.152231,1.02722,0.584323,0.97113,-0.859023,1.875,0.285684,-0.0742454,0.404854,0.957185,0.285588,0.0379385,0.0282432
3284199014,0.190232,-0.921685,-0.454456,-2.87854,-0.434081,2.07036,-0.51687,-0.010583,-0.0113112,-0.0763258,-0.043417,-0.072158,0.0638281,-0.139318,0.14243,0.152231,1.02722,0.584323,0.97113,-0.859023,1.875,0.284853,-0.0768653,0.401844,0.953983,0.295782,0.0398477,0.0290093
3358502123,0.189838,-0.922106,-0.457292,-2.88015,-0.436762,2.07274,-0.522046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284663,-0.0774331,0.401175,0.953254,0.298051,0.0402736,0.0291805
3358502123,0.189838,-0.922106,-0.457292,-2.88015,-0.436762,2.07274,-0.522046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284663,-0.0774331,0.401175,0.953254,0.298051,0.0402736,0.0291805
3458502123,0.189028,-0.922474,-0.46275,-2.88267,-0.441533,2.07706,-0.531421,-0.0162042,-0.00735894,-0.109164,-0.0505126,-0.0954263,0.0865337,-0.1875,-0.162042,-0.0735894,-1.09164,-0.505126,-0.954263,0.865337,-1.875,0.284392,-0.0786136,0.400006,0.95199,0.301938,0.0410543,0.0293906
